title,body,labels,assignees,milestone
Documentar arquitetura da AST e tabela de símbolos,"Atualizar `docs/decisoes-tecnicas.md` explicando o design escolhido para AST e escopos.

Responsável sugerido: Integrante 3
Sprint: Sprint 3",docs,,Sprint 3
Semântica: variável não declarada,"Implementar verificação que reporta erro ao usar uma variável não presente na tabela de símbolos do escopo atual/pai.

Responsável sugerido: Integrante 2
Sprint: Sprint 4",semantic,,Sprint 4
Semântica: redeclaração de variável,"Implementar verificação que reporta erro ao declarar duas vezes a mesma variável no mesmo escopo.

Responsável sugerido: Integrante 2
Sprint: Sprint 4",semantic,,Sprint 4
Semântica: checagem básica de tipos,"Implementar verificação simples de compatibilidade de tipos em atribuições e expressões (ex.: `int = float` permitido com conversão, `int = char*` proibido).

Responsável sugerido: Integrante 4
Sprint: Sprint 4",semantic,,Sprint 4
Parser/AST: definição de funções,"Implementar regra gramatical e nó de AST para definição de função (tipo de retorno, nome, lista de parâmetros, corpo).

Responsável sugerido: Integrante 3
Sprint: Sprint 4",parser;ast,,Sprint 4
Parser/AST: chamada de função,"Implementar regra gramatical e nó de AST para chamada de função com lista de argumentos.

Responsável sugerido: Integrante 5
Sprint: Sprint 4",parser;ast,,Sprint 4
Semântica: validação de chamada de função,"Verificar se a função chamada existe, e se número/tipo dos argumentos é compatível com a assinatura declarada.

Responsável sugerido: Integrante 4
Sprint: Sprint 4",semantic,,Sprint 4
Semântica: comando return,"Implementar verificação de que o tipo do valor em `return` é compatível com o tipo de retorno da função.

Responsável sugerido: Integrante 2
Sprint: Sprint 4",semantic,,Sprint 4
Garantir suporte obrigatório a `int main()`,"Validar que todo programa MiniC precisa ter uma função `main` com assinatura `int main()`, reportando erro caso ausente.

Responsável sugerido: Integrante 1
Sprint: Sprint 4",semantic;parser,,Sprint 4
Validar manualmente casos de erro semântico,"Rodar programas de referência com variações propositais (variável não declarada, redeclaração, erro de tipo, chamada de função inválida) e conferir as mensagens de erro.

Responsável sugerido: Integrante 5
Sprint: Sprint 4",semantic,,Sprint 4
Atualizar documentação com regras semânticas,"Atualizar `docs/decisoes-tecnicas.md` com as regras de tipagem e escopo efetivamente implementadas.

Responsável sugerido: Integrante 3
Sprint: Sprint 4",docs,,Sprint 4
Ambiente de execução (pilha de escopos em runtime),"Implementar a estrutura de ambiente que guarda valores de variáveis em tempo de execução, com pilha para escopos de função.

Responsável sugerido: Integrante 2
Sprint: Sprint 5",interpreter,,Sprint 5
Interpretar expressões aritméticas/relacionais/lógicas,"Implementar `avaliar_expressao(no)` percorrendo recursivamente a AST e retornando o valor calculado.

Responsável sugerido: Integrante 4
Sprint: Sprint 5",interpreter,,Sprint 5
Interpretar atribuições e acesso a variáveis,"Implementar leitura e escrita de variáveis no ambiente de execução durante a interpretação.

Responsável sugerido: Integrante 4
Sprint: Sprint 5",interpreter,,Sprint 5
Interpretar if/if-else e while,"Implementar `interpretar_comando(no)` para os nós de `if`, `if-else` e `while`.

Responsável sugerido: Integrante 3
Sprint: Sprint 5",interpreter,,Sprint 5
Interpretar for,"Implementar a execução do laço `for` (inicialização, condição, incremento, corpo).

Responsável sugerido: Integrante 3
Sprint: Sprint 5",interpreter,,Sprint 5
Interpretar chamada de função com pilha de ambientes,"Implementar chamada de função criando um novo ambiente/escopo, passando parâmetros por valor e tratando o retorno.

Responsável sugerido: Integrante 5
Sprint: Sprint 5",interpreter,,Sprint 5
Implementar printf simplificado,"Implementar suporte a `printf` com os formatos `%d`, `%f`, `%c`, `%s`.

Responsável sugerido: Integrante 2
Sprint: Sprint 5",interpreter,,Sprint 5
Implementar scanf simplificado,"Implementar suporte a `scanf` para ler `int`, `float` e `char` do usuário, atualizando a variável correspondente no ambiente.

Responsável sugerido: Integrante 5
Sprint: Sprint 5",interpreter,,Sprint 5
Validar manualmente interpretador vs. GCC,"Executar os mesmos programas MiniC no interpretador e compilados via GCC, comparando as saídas lado a lado como conferência de corretude.

Responsável sugerido: Integrante 1
Sprint: Sprint 5",interpreter,,Sprint 5
Preparar apresentação e formulário do P2,"Montar slides mostrando o que evoluiu desde o P1 e demonstrando o interpretador funcionando; preencher e enviar o formulário oficial de P2.

Responsável sugerido: Integrante 1
Sprint: Sprint 5",docs;P2,,Sprint 5
Validar manualmente programas maiores,"Rodar e conferir a execução completa de fatorial, Fibonacci, MDC e um algoritmo de ordenação simples no interpretador.

Responsável sugerido: Integrante 3
Sprint: Sprint 6",interpreter,,Sprint 6
Corrigir bugs encontrados na consolidação,"Triagem e correção dos defeitos identificados na validação manual (uma issue por bug relevante).

Responsável sugerido: Todos *(distribuir por área de origem do bug)*
Sprint: Sprint 6",bug,,Sprint 6
(Backlog) Operadores `++`/`--` e atribuições compostas,"Implementar suporte opcional a incremento/decremento e a `+=`, `-=`, `*=`, `/=`.

Responsável sugerido: Integrante 4
Sprint: Sprint 6",enhancement,,Sprint 6
(Backlog) Vetores unidimensionais de tamanho fixo,"Implementar suporte opcional a declaração, acesso e atribuição em arrays de tamanho fixo.

Responsável sugerido: Integrante 2
Sprint: Sprint 6",enhancement,,Sprint 6
(Backlog) Suporte a recursão,"Validar manualmente chamadas recursivas (fatorial recursivo, Fibonacci recursivo), garantindo que a pilha de ambientes suporta o caso.

Responsável sugerido: Integrante 5
Sprint: Sprint 6",enhancement,,Sprint 6
Revisão de código cruzada (code review),"Cada integrante revisa um módulo que não implementou, abrindo comentários/PRs de ajuste.

Responsável sugerido: Todos *(revisão cruzada em pares)*
Sprint: Sprint 6",docs,,Sprint 6
Atualizar status do backlog de expansão,"Atualizar a seção 4.2 do escopo indicando o que foi concluído, o que ficou de fora e por quê.

Responsável sugerido: Integrante 1
Sprint: Sprint 6",docs,,Sprint 6
